,CommentsStars,CommentsContent
0,3.0,                       this is a nice but i can t possibly give it more than   for not completely working  the ethernet works fine but the hdmi causes our macbook to constantly flicker  we have have a separate usb c to hdmi adapter and it works just fine     
1,4.0,                       i needed a c hub for my daughter when she is doing remote school work with her chromebook  i love the small size  great product for the price      
2,5.0,                       this adapter is great even tho it is small  it has all the ports necessary  i use it with macbook pro which only have usb c port so this was a must need for me  and trust me this work very good and fast  i usually use this to connect my mac to external monitor and to charge my samsung phone also  so this is so helpful to me and works great      
3,5.0,                       this item did the trick for me  well made and does what it is supposed to do      
4,5.0,                       first  the tech  adds usb     ports to your usb c macbook pro  in my case   adds wired ethernet  and it matches my space gray machine  recommended      
5,5.0,                       this item is small and compact and does what it supposed to do   allows multiple input sources   great to add to a laptop or even a tesla vehicle      
6,5.0,                       after you get the hand  open it to see the appearance  you are satisfied  you can feel the hand when you hold it  it feels good  the quality of the product is very good  the performance is very stable      
7,5.0,                       a nice affordable hub for my macpro  it worked well so far      
8,5.0,                       like it because it has ethernet connection which most others dont     
9,5.0,                       i am already very pleased with the product  it arrived well packaged   i must not have read over the details too much before purchasing this but i m trilled it is made of metal and not plastic like so many other dongle products  feels solid   durable  i use it primarily for power  usb c  and ethernet  but appreciate having the hdmi   usb a ports for the rare instances that i need those  i highly recommend this product      
10,5.0,                       all ports work  ethernet  usb ports  hdmi  great product      
11,5.0,                       this is everything i wanted i m a usb c hub for my pixelbook  it s thin and gets the job done  love that it can charge pixelbook at the same time     
12,2.0,                       it works wonderfully so far haven t done any high capacity transfers yet  so i cannot comment on the speed however  i have noticed that it will emit noise after the target device is fully charged and pd is connected because said noise is unbearable for me  i have brought the rating down by two stars otherwise  i am currently happy with this product  and if the noise wasn t a thing  i would have given   stars update  after being used for a while with power delivery turned on  the hub will stop working  and must be disconnected and reconnected  i would assume that stops working due to the generated heat going across some threshold  and works best cold  as it is still functional for periods of time  it gets two stars  not one      
13,5.0,                       it works as it listed and more   it able connect to external monitor in extend mode  windows   samsung dex    apps open   and nintendo switch  heat despesation is good  not burning like other      
